,url,start,end,subtitle
0,https://www.youtube.com/watch?v=bsFZpLNwueY&index=2&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:14,117","00:00:20,096",(박수와 환호)
113,https://www.youtube.com/watch?v=bsFZpLNwueY&index=2&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:07:03,815","00:07:06,843",연예인은 아주 어렸을 때부터 박수 소리
114,https://www.youtube.com/watch?v=bsFZpLNwueY&index=2&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:07:06,843","00:07:10,583",데뷔를 어렸을 때 한 친구들은 박수 소리로 자아가 결정이 돼요
115,https://www.youtube.com/watch?v=bsFZpLNwueY&index=2&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:07:10,583","00:07:14,670",여러분이 박수를 크게 쳐주시면 우리는 굉장히 몸집이 부풀려져요
120,https://www.youtube.com/watch?v=bsFZpLNwueY&index=2&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:07:27,099","00:07:31,249",아웃풋(output)이 있어야 박수 소리가 있고 인정하는 눈길이 있고
341,https://www.youtube.com/watch?v=bsFZpLNwueY&index=2&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:19:53,900","00:19:56,389",(손키스) (박수와 환호)
342,https://www.youtube.com/watch?v=nos-aVtxvGo&index=3&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:05,300","00:00:10,202",(박수와 환호)
580,https://www.youtube.com/watch?v=gujoyMHgVG4&index=4&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:08,641","00:00:15,163",(박수와 환호성)
588,https://www.youtube.com/watch?v=gujoyMHgVG4&index=4&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:54,913","00:01:00,547",(박수! 우와!)
800,https://www.youtube.com/watch?v=gujoyMHgVG4&index=4&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:15:50,747","00:15:56,708",(박수)
813,https://www.youtube.com/watch?v=gujoyMHgVG4&index=4&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:17:00,389","00:17:01,834",(박수와 환호)
815,https://www.youtube.com/watch?v=RvMjD8Qmnws&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=5,"00:00:04,851","00:00:14,420",(박수와 환호)
823,https://www.youtube.com/watch?v=RvMjD8Qmnws&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=5,"00:00:38,131","00:00:39,781",(박수)
924,https://www.youtube.com/watch?v=RvMjD8Qmnws&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=5,"00:06:48,668","00:06:53,508",(박수)
935,https://www.youtube.com/watch?v=RvMjD8Qmnws&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=5,"00:07:29,629","00:07:34,509",(박수)
1053,https://www.youtube.com/watch?v=RvMjD8Qmnws&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=5,"00:14:22,632","00:14:31,672",(박수)
1073,https://www.youtube.com/watch?v=RvMjD8Qmnws&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=5,"00:15:29,884","00:15:33,535",(박수와 환호)
1074,https://www.youtube.com/watch?v=4RIAXlLt95w&index=6&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:04,510","00:00:10,074",(박수와 환호)
1368,https://www.youtube.com/watch?v=WCVuo3xUr7U&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=7,"00:00:11,175","00:00:18,460",(박수와 환호)
2049,https://www.youtube.com/watch?v=qI2-jjMmV8M&index=9&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:04,355","00:00:13,452",(박수와 환호)
2063,https://www.youtube.com/watch?v=qI2-jjMmV8M&index=9&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:55,358","00:00:57,962",그렇게 공감하시는 분들  다시 한번 박수로 한 번 응원해 볼까요?
2064,https://www.youtube.com/watch?v=qI2-jjMmV8M&index=9&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:57,962","00:01:01,751",(박수와 환호) 와우~!
2236,https://www.youtube.com/watch?v=qI2-jjMmV8M&index=9&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:10:42,383","00:10:45,813",(울컥) (박수)
2315,https://www.youtube.com/watch?v=qI2-jjMmV8M&index=9&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:14:26,360","00:14:27,405",박수 쳐도 돼요
2316,https://www.youtube.com/watch?v=qI2-jjMmV8M&index=9&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:14:27,405","00:14:31,675",(박수)
2339,https://www.youtube.com/watch?v=DN8KqorbBMk&index=10&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:10,290","00:00:14,579",(박수와 환호)
2350,https://www.youtube.com/watch?v=DN8KqorbBMk&index=10&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:57,457","00:01:01,451",그래서 지금 박수는 저한테 치시는 게 아니고
2356,https://www.youtube.com/watch?v=DN8KqorbBMk&index=10&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:01:15,888","00:01:21,737",네 (박수)
2445,https://www.youtube.com/watch?v=DN8KqorbBMk&index=10&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:06:15,212","00:06:19,152",(박수)
2454,https://www.youtube.com/watch?v=DN8KqorbBMk&index=10&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:06:52,718","00:06:58,336",(박수)
2644,https://www.youtube.com/watch?v=DN8KqorbBMk&index=10&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:16:38,559","00:16:40,189",(박수와 환호)
2645,https://www.youtube.com/watch?v=IYxZkfXFo3c&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=11,"00:00:04,610","00:00:11,364",(박수와 환호)
2647,https://www.youtube.com/watch?v=IYxZkfXFo3c&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=11,"00:00:22,370","00:00:25,540",(박수와 환호)
2665,https://www.youtube.com/watch?v=IYxZkfXFo3c&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=11,"00:01:39,281","00:01:44,630","저는 ... (박수) 네, 고맙습니다 (박수)"
2812,https://www.youtube.com/watch?v=IYxZkfXFo3c&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=11,"00:12:56,429","00:12:59,798",(박수)
2876,https://www.youtube.com/watch?v=IYxZkfXFo3c&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=11,"00:17:57,554","00:17:59,342",(박수와 환호)
2877,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:00:05,013","00:00:10,053",(박수와 환호)
2901,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:01:40,627","00:01:45,407","""너는 왜 ..."" (환호와 박수) 하하하"
2930,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:03:06,089","00:03:10,471",(박수와 환호)
2948,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:03:56,223","00:03:58,591",(박수와 환호) 막 그러는 거예요
2953,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:04:11,573","00:04:15,083",(박수와 환호)
3093,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:11:17,547","00:11:20,497",(박수와 환호)
3114,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:12:27,469","00:12:31,007",(박수와 환호)
3126,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:13:11,972","00:13:17,183",(박수와 환호)
3140,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:13:57,873","00:14:00,681",박수치지 마세요 이거 뭐 자랑스러운 일도 아니고요
3141,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:14:00,681","00:14:02,732",여러분 박수치면 나 울지도 몰라요
3174,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:15:39,737","00:15:47,150",(박수와 환호)
3196,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:16:55,606","00:16:56,799",(박수와 환호)
3197,https://www.youtube.com/watch?v=qMR6q4GE-H8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=13,"00:00:10,460","00:00:20,000",(박수와 함성)
3260,https://www.youtube.com/watch?v=qMR6q4GE-H8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=13,"00:04:35,456","00:04:40,284",(박수와 웃음)
3451,https://www.youtube.com/watch?v=qMR6q4GE-H8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=13,"00:16:13,683","00:16:15,823",(박수와 환호)
3712,https://www.youtube.com/watch?v=GhbTQenkOA4&index=14&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:15:29,405","00:15:35,327",(박수)
3713,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:15,941","00:00:20,680",(박수와 환호)
3869,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:10:17,856","00:10:20,780",아니 이런 박수 받고 싶지 않아요
3870,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:10:20,780","00:10:25,020",(박수와 환호)
3966,https://www.youtube.com/watch?v=2M9jJJqugvY&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=16,"00:00:05,052","00:00:10,360",(박수와 환호)
4294,https://www.youtube.com/watch?v=2M9jJJqugvY&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=16,"00:15:55,083","00:15:56,449",(박수)
4582,https://www.youtube.com/watch?v=AjkRxUjkTWE&index=18&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:04,967","00:00:10,029",(박수와 환호)
5211,https://www.youtube.com/watch?v=sFe6KEWsYuU&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=20,"00:12:08,969","00:12:13,636",(웃음과 박수)
5218,https://www.youtube.com/watch?v=sFe6KEWsYuU&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=20,"00:12:40,205","00:12:42,702",(박수)
5239,https://www.youtube.com/watch?v=sFe6KEWsYuU&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=20,"00:14:01,114","00:14:03,390",(박수)
5271,https://www.youtube.com/watch?v=YjCJNxE0xfo&index=21&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:20,741","00:00:23,631",(박수)
5436,https://www.youtube.com/watch?v=YjCJNxE0xfo&index=21&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:10:53,400","00:10:57,880",(웃음과 박수)
5450,https://www.youtube.com/watch?v=YjCJNxE0xfo&index=21&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:11:54,489","00:11:56,269",(박수)
5683,https://www.youtube.com/watch?v=UFycbeuC5TM&index=22&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:13:21,131","00:13:24,001",박수 소리 자체가 틀려요
5716,https://www.youtube.com/watch?v=qF5eNU85Yz8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=23,"00:00:01,133","00:00:08,340",(관객 : 박수)
5933,https://www.youtube.com/watch?v=S27Z_-S_aLI&index=24&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:58,198","00:01:02,928",(격려의 박수)
6113,https://www.youtube.com/watch?v=S27Z_-S_aLI&index=24&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:14:16,425","00:14:21,522",(박수와 환호)
6163,https://www.youtube.com/watch?v=1Y4fnr-mrGw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=25,"00:01:20,919","00:01:24,968",(박수 소리)
6173,https://www.youtube.com/watch?v=1Y4fnr-mrGw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=25,"00:01:57,116","00:02:02,644",(박수소리)
6263,https://www.youtube.com/watch?v=1Y4fnr-mrGw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=25,"00:07:22,486","00:07:26,925",(박수 소리)
6341,https://www.youtube.com/watch?v=1Y4fnr-mrGw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=25,"00:11:34,796","00:11:36,580",(박수 소리)
6366,https://www.youtube.com/watch?v=1Y4fnr-mrGw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=25,"00:12:48,502","00:12:49,732",(박수 소리)
6425,https://www.youtube.com/watch?v=hq8QMn33F-s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=26,"00:01:20,919","00:01:24,968",(박수 소리)
6435,https://www.youtube.com/watch?v=hq8QMn33F-s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=26,"00:01:57,116","00:02:02,644",(박수소리)
6525,https://www.youtube.com/watch?v=hq8QMn33F-s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=26,"00:07:22,486","00:07:26,925",(박수 소리)
6603,https://www.youtube.com/watch?v=hq8QMn33F-s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=26,"00:11:34,796","00:11:36,580",(박수 소리)
6628,https://www.youtube.com/watch?v=hq8QMn33F-s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=26,"00:12:48,502","00:12:49,732",(박수 소리)
6745,https://www.youtube.com/watch?v=mknNRMAc0Zg&index=27&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:04:13,433","00:04:18,366",(박수)
6831,https://www.youtube.com/watch?v=mknNRMAc0Zg&index=27&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:08:52,541","00:08:59,236",(박수) 네.. 감사합니다.
6857,https://www.youtube.com/watch?v=mknNRMAc0Zg&index=27&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:10:23,396","00:10:30,367",(박수)
6878,https://www.youtube.com/watch?v=mknNRMAc0Zg&index=27&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:11:41,110","00:11:42,964",(박수)
6880,https://www.youtube.com/watch?v=mknNRMAc0Zg&index=27&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:11:46,366","00:11:50,637","(박수, 환호)"
6887,https://www.youtube.com/watch?v=bMz2ckG4VGE&index=28&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:05,551","00:00:08,991",(박수와 환호)
7004,https://www.youtube.com/watch?v=bMz2ckG4VGE&index=28&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:07:47,876","00:07:49,286",(박수)
7123,https://www.youtube.com/watch?v=Y-oWM8YInjQ&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=29,"00:00:09,607","00:00:13,500",(박수와 환호)
7127,https://www.youtube.com/watch?v=Y-oWM8YInjQ&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=29,"00:00:23,954","00:00:26,394",(박수와 환호)
7209,https://www.youtube.com/watch?v=Y-oWM8YInjQ&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=29,"00:05:06,495","00:05:08,897",(박수와 환호)
7355,https://www.youtube.com/watch?v=Y-oWM8YInjQ&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=29,"00:13:49,608","00:13:52,538",(박수와 환호)
7393,https://www.youtube.com/watch?v=Y-oWM8YInjQ&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=29,"00:15:44,906","00:15:47,306",(박수와 환호)
7557,https://www.youtube.com/watch?v=87wXpvbT5-A&index=30&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:13:00,385","00:13:03,045",(박수)
7575,https://www.youtube.com/watch?v=87wXpvbT5-A&index=30&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:14:46,206","00:14:48,686",(박수)
7602,https://www.youtube.com/watch?v=3ppXm07eDFw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=31,"00:00:06,252","00:00:11,516",(박수와 환호)
